user,word,timestamp,word_type
Madhu,fit,01-03-2024 13:05,1k_most_used
Madhu,use,01-03-2024 13:06,3_science_LS1
Madhu,get,01-03-2024 13:07,3_science_LS1
Madhu,age,01-03-2024 13:07,1k_most_used
Madhu,gun,01-03-2024 13:09,1k_most_used
Madhu,set,04-03-2024 15:14,3_science_LS1
Madhu,let,04-03-2024 15:16,3_science_LS1
Madhu,was,04-03-2024 15:19,3_science_LS1
Madhu,set,04-03-2024 15:21,3_science_LS1
Madhu,did,04-03-2024 15:22,3_science_LS1
Madhu,ill,04-03-2024 15:29,3_science_LS1
Madhu,let,04-03-2024 15:30,3_science_LS1
Madhu,ask,04-03-2024 15:32,3_science_LS1
Madhu,tie,04-03-2024 15:45,1k_most_used
Madhu,did,04-03-2024 15:53,3_science_LS1
Madhu,add,04-03-2024 16:02,3_science_LS2
Madhu,add,04-03-2024 16:04,3_science_LS2
Madhu,follow,06-03-2024 13:39,3_science_LS1
Madhu,id,06-03-2024 17:18,3_science_LS1
Madhu,os,06-03-2024 17:18,3_science_LS1
Madhu,wy,06-03-2024 17:18,3_science_LS2
Madhu,yo,06-03-2024 17:19,3_science_LS1
Madhu,pi,06-03-2024 17:19,3_science_LS1
Madhu,ah,06-03-2024 17:20,3_science_LS1
Madhu,ha,06-03-2024 17:20,3_science_LS1
Madhu,om,06-03-2024 17:20,3_science_LS1
Madhu,put,06-03-2024 21:38,3_science_LS1
Madhu,way,06-03-2024 21:38,3_science_LS1
Madhu,raw,06-03-2024 21:42,3_science_LS1
Madhu,bat,06-03-2024 21:42,3_science_LS1
Madhu,toy,06-03-2024 21:42,3_science_LS1
Madhu,few,06-03-2024 21:43,3_science_LS2
Madhu,sea,06-03-2024 21:44,1k_most_used
Madhu,joy,06-03-2024 21:44,1k_most_used
Madhu,pom,06-03-2024 21:47,3_science_LS1
Madhu,end,06-03-2024 21:48,3_science_LS1
Madhu,bow,06-03-2024 21:48,3_science_LS1
Madhu,end,06-03-2024 21:49,3_science_LS1
Madhu,hop,06-03-2024 21:49,3_science_LS1
Madhu,pad,06-03-2024 21:50,3_science_LS1
